Price,Close,High,Low,Open,Volume
Ticker,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS,HAVELLS.NS
Date,,,,,
2025-10-13,1468.608154296875,1491.3386805220437,1454.2520388756157,1490.9398758746017,720965
2025-10-14,1444.6812744140625,1474.4901254963029,1436.406656397337,1474.4901254963029,1392203
2025-10-15,1459.7352294921875,1463.8228248977168,1444.083151503419,1450.5633313341214,794127
2025-10-16,1471.2999267578125,1475.487071118238,1450.06482766316,1460.134005633201,1288100
2025-10-17,1486.9520263671875,1491.8371093251083,1464.52063475253,1472.3965699257383,905801
2025-10-20,1480.87060546875,1489.444357214841,1435.3098851107304,1475.4870473078745,1277994
2025-10-21,1479.5745849609375,1487.3508494966145,1475.4871112221697,1481.3691449916598,72699
2025-10-23,1491.837158203125,1508.5858581386315,1469.704778066006,1475.4871412175821,1050285
2025-10-24,1490.3416748046875,1507.3895079959768,1486.852347239882,1497.2206592006357,1009492
2025-10-27,1488.0487060546875,1490.2420707838926,1477.5807228916565,1490.2420707838926,589156
2025-10-28,1476.085205078125,1485.1574322498557,1466.6141732805643,1482.4657139971514,954761
2025-10-29,1504.7974853515625,1508.3864837094686,1479.6742534500395,1486.4535672245988,625897
2025-10-30,1501.7069091796875,1511.9754285150518,1495.7252048956786,1509.2837102664819,644881
2025-10-31,1489.3447265625,1505.4952797816588,1483.0638882561118,1505.3956090478296,1154138
2025-11-03,1492.734375,1495.3264225554162,1477.580650902489,1489.3447181822614,349232
2025-11-04,1481.8675537109375,1492.7343407457558,1474.4900941470555,1485.5562226438365,776103
2025-11-06,1437.902099609375,1480.5715182218123,1434.811454959853,1470.602010831324,1209100
2025-11-07,1444.0831298828125,1462.0282429914703,1426.9356260359966,1439.596851605648,586545
2025-11-10,1453.2550048828125,1462.7260366512419,1427.633420251664,1447.572434500989,944575
2025-11-11,1439.1981201171875,1452.5572848944073,1425.141138473957,1451.560334115482,613786
2025-11-12,1453.55419921875,1456.6447222162913,1440.7931808893081,1444.7809839049976,430648
2025-11-13,1461.6295166015625,1467.013075161959,1449.4667657449684,1453.5542396100145,392270
2025-11-14,1464.91943359375,1468.508431898283,1449.1675633096318,1458.7382660210826,247053
2025-11-17,1475.8858642578125,1479.9733378536619,1461.7290910722236,1465.6172232041138,545878
2025-11-18,1463.523681640625,1473.293847540622,1451.560272798876,1469.605056795563,708532
2025-11-19,1436.0079345703125,1461.7291917957994,1433.914362262136,1460.5328995334396,1021976
2025-11-20,1444.0831298828125,1448.8685420576894,1434.4127564979374,1440.593802333907,650084
2025-11-21,1436.7056884765625,1443.5846729288937,1425.63955959138,1442.587722187921,978674
2025-11-24,1420.2559814453125,1442.3883606051343,1411.0840834354967,1436.40665624271,1766273
2025-11-25,1415.0718994140625,1424.7422728767338,1407.69443962598,1420.6547991976074,773716
2025-11-26,1435.4097900390625,1438.599983874307,1413.676214229915,1418.6609681587936,609827
